year,month,day,ActualMax,AverageTemp,MaxAvTemp,MinAvTemp
1971,03,01,46,32.5,36.3,28.8
1971,04,01,40,28.2,32.5,23.9
1971,05,01,33,16.1,22.0,10.1
1971,06,01,42,21.1,27.1,15.0
1971,07,01,38,14.8,21.7,7.9
1971,08,01,40,20.3,26.9,13.7
1971,09,01,35,20.6,26.5,14.7
1971,10,01,43,28.3,34.3,22.2
1971,11,01,44,30.9,35.4,26.4
1971,12,01,39,29.5,33.5,25.4
1972,01,01,40,31.2,35.0,27.5
1972,02,01,41,30.8,34.7,26.9
1972,03,01,38,29.6,33.6,25.5
1972,04,01,39,27.2,32.0,22.3
1972,05,01,39,21.5,27.5,15.5
1972,06,01,34,7.0,16.4,-2.4
1972,07,01,36,13.5,21.4,5.6
1972,08,01,33,4.0,13.4,-5.5
1972,09,01,39,21.7,28.1,15.3
1972,10,01,41,23.4,30.7,16.0
1972,11,01,42,26.8,31.9,21.7
1972,12,01,53,33.6,37.9,29.3
1973,01,01,36,30.5,33.2,27.7
1973,02,01,42,32.5,35.3,29.6
1973,03,01,46,33.0,37.1,28.9
1973,04,01,42,25.3,31.3,19.4
1973,05,01,34,12.5,20.0,5.1
1973,06,01,33,8.5,17.3,-0.3
1973,07,01,40,14.6,21.7,7.5
1973,08,01,39,15.8,24.3,7.3
1973,09,01,38,17.2,26.8,7.6
1973,10,01,43,29.7,34.2,25.1
1973,11,01,41,29.9,33.6,26.3
1973,12,01,44,32.9,37.0,28.8
1974,01,01,44,34.5,37.8,31.2
1974,02,01,44,35.6,39.1,32.2
1974,03,01,49,34.8,37.7,31.9
1974,04,01,38,27.3,30.6,23.9
1974,05,01,46,18.7,25.6,11.8
1974,06,01,35,14.3,21.6,7.1
1974,07,01,36,14.8,22.6,7.0
1974,08,01,34,10.8,15.6,6.0
1974,09,01,43,19.7,27.0,12.4
1974,10,01,40,27.8,33.4,22.2
1974,11,01,42,30.9,34.5,27.3
1975,02,01,45,15,37.5,0
1976,01,01,42,33.7,36.6,30.8
1976,02,01,47,35.2,38.6,31.7
1976,03,01,49,32.8,36.0,29.7
1976,04,01,42,31.0,35.1,26.9
1976,05,01,39,26.1,31.3,21.0
1976,06,01,35,15.0,23.4,6.5
1976,07,01,41,14.0,24.1,3.9
1976,08,01,34,14.5,25.7,3.4
1976,09,01,39,16.6,26.2,6.9
1976,10,01,41,29.4,34.0,24.7
1976,11,01,44,31.7,36.0,27.4
1976,12,01,42,32.1,35.5,28.8
1977,01,01,43,34.4,37.1,31.7
1977,02,01,46,35.1,38.3,31.9
1977,03,01,43,32.6,35.1,30.1
1977,04,01,40,30.7,33.4,27.9
1977,05,01,44,28.7,32.1,25.2
1977,06,01,35,26.5,29.8,23.2
1977,07,01,34,17.9,24.9,10.7
1977,08,01,34,16.6,22.4,10.8
1977,09,01,37,22.2,30.3,14.2
1977,10,01,41,27.1,33.4,20.7
1977,11,01,44,31.1,35.7,26.6
1977,12,01,43,32.8,36.1,29.5
1978,01,01,47,33.6,37.2,29.9
1978,02,01,46,35.1,38.5,31.6
1978,03,01,42,31.5,34.8,28.3
1978,04,01,43,28.8,32.2,25.5
1978,05,01,39,28.5,32.6,24.4
1978,06,01,37,22.3,28.2,16.4
1978,07,01,38,7.2,15.5,-1.1
