dt,AverageTemperature,AverageTemperatureUncertainty,Country
1863.0801,23.416,0.8340000000000001,Brazil
1863.0901,24.019000000000002,1.124,Brazil
1863.1001,24.412000000000006,0.87,Brazil
1863.1101,24.625,0.7979999999999999,Brazil
1863.1201,24.605999999999998,1.107,Brazil
1864.0101,24.404000000000003,0.92,Brazil
1864.0201,24.534,1.22,Brazil
1864.0301,24.348000000000003,0.8540000000000001,Brazil
1864.0401,23.999,0.932,Brazil
1864.0501,23.831999999999997,0.857,Brazil
1864.0601,23.12,0.935,Brazil
1864.0701,23.105,0.8220000000000001,Brazil
1864.0801,23.62,0.961,Brazil
1864.0901,24.663,1.139,Brazil
1864.1001,24.886999999999997,0.8420000000000001,Brazil
1864.1101,24.758000000000003,0.958,Brazil
1864.1201,24.307,1.225,Brazil
1865.0101,25.519,0.895,Brazil
1865.0201,24.144,1.072,Brazil
1865.0301,23.916,0.7709999999999999,Brazil
1865.0401,23.861,0.994,Brazil
1865.0501,23.61,1.002,Brazil
1865.0601,23.188,1.069,Brazil
1865.0701,23.146,0.846,Brazil
1865.0801,23.89,0.8290000000000001,Brazil
1865.0901,24.599,0.96,Brazil
1865.1001,25.108,0.935,Brazil
1865.1101,25.363000000000003,1.04,Brazil
1865.1201,24.428,1.205,Brazil
1866.0101,25.42,0.7929999999999999,Brazil
1866.0201,24.175,1.039,Brazil
1866.0301,24.146,1.3219999999999998,Brazil
1866.0401,24.116999999999997,0.931,Brazil
1866.0501,23.756999999999998,1.02,Brazil
1866.0601,22.616999999999997,0.78,Brazil
1866.0701,23.553,0.955,Brazil
1866.0801,24.108,0.981,Brazil
1866.0901,24.916,0.823,Brazil
1866.1001,24.62,0.7879999999999999,Brazil
1866.1101,25.267,0.823,Brazil
1866.1201,25.368,0.94,Brazil
1867.0101,24.733,1.4280000000000002,Brazil
1867.0201,24.676,0.823,Brazil
1867.0301,24.362,0.949,Brazil
1867.0401,24.51,0.938,Brazil
1867.0501,23.575,0.769,Brazil
1867.0601,23.266,0.8079999999999999,Brazil
1867.0701,23.198,0.863,Brazil
1867.0801,24.156999999999996,0.954,Brazil
1867.0901,24.904,0.828,Brazil
1867.1001,25.149,0.863,Brazil
1867.1101,25.82,1.577,Brazil
1867.1201,25.569000000000003,1.337,Brazil
1868.0101,24.988000000000003,0.825,Brazil
1868.0201,24.389000000000006,1.306,Brazil
1868.0301,24.745,0.851,Brazil
1868.0401,24.225,0.947,Brazil
1868.0501,24.035999999999998,0.944,Brazil
1868.0601,23.522,1.17,Brazil
1868.0701,23.805999999999997,1.126,Brazil
